sizes,url,price,popularity,update,colors,mainimg,shoeno,images,title,property,market
"35,36,37,38,39,40",https://weituo.sooxie.com/154600.aspx,38,122,今日新款，放心上传,"黑色嘴唇,白色米奇,白色手势,黑色眼睛,白色眼睛,白色牵手","http://data.xiedu.biz/index/big/131368613726093750270270.jpg,https://images.xiedu.biz/upload/201704170812157968834921.jpg!bac,https://images.xiedu.biz/upload/201704170812178437881102.jpg!bac,https://images.xiedu.biz/upload/201704170812192187229173.jpg!bac",17,"https://images.xiedu.biz/upload/201704180204438906089140.jpg!bac,https://images.xiedu.biz/upload/201704180204595156044482.jpg!bac,https://images.xiedu.biz/upload/201704180205124531207378.jpg!bac,https://images.xiedu.biz/upload/201704180205340937269622.jpg!bac,https://images.xiedu.biz/upload/201704180205360312647958.jpg!bac,https://images.xiedu.biz/upload/201704180205377656727159.jpg!bac,https://images.xiedu.biz/upload/201704180205390468995434.jpg!bac,https://images.xiedu.biz/upload/201704180205405781326994.jpg!bac,https://images.xiedu.biz/upload/201704180205420312166809.jpg!bac,https://images.xiedu.biz/upload/201704180205435312546522.jpg!bac,https://images.xiedu.biz/upload/201704180205452031497775.jpg!bac,https://images.xiedu.biz/upload/201704180205467343053589.jpg!bac,https://images.xiedu.biz/upload/201704180205482656385149.jpg!bac,https://images.xiedu.biz/upload/201704180205504375462973.jpg!bac,https://images.xiedu.biz/upload/201704180205524843509155.jpg!bac,https://images.xiedu.biz/upload/201704180205548906062214.jpg!bac,https://images.xiedu.biz/upload/201704180205565156473569.jpg!bac,https://images.xiedu.biz/upload/201704180205580000265232.jpg!bac,https://images.xiedu.biz/upload/201704180205595625772893.jpg!bac,https://images.xiedu.biz/upload/201704180206014531611331.jpg!bac,https://images.xiedu.biz/upload/201704180206037500720798.jpg!bac,https://images.xiedu.biz/upload/201704180206058906846775.jpg!bac,https://images.xiedu.biz/upload/201704180206080156384701.jpg!bac,https://images.xiedu.biz/upload/201704180206100625430883.jpg!bac,https://images.xiedu.biz/upload/201704180206120156397269.jpg!bac,https://images.xiedu.biz/upload/201704180206137031712319.jpg!bac,https://images.xiedu.biz/upload/201704180206166250980000.jpg!bac,https://images.xiedu.biz/upload/201704180206187500517926.jpg!bac,https://images.xiedu.biz/upload/201704180206211406707189.jpg!bac,https://images.xiedu.biz/upload/201704180206235000720350.jpg!bac,https://images.xiedu.biz/upload/201704180206250156688113.jpg!bac,https://images.xiedu.biz/upload/201704180206266093147622.jpg!bac,https://images.xiedu.biz/upload/201704180206282500922774.jpg!bac","
                                        wt-017阁耐棉草编鞋懒人鞋-女款35-40码批38元","[{u'\u6b3e\u5f0f': u'\u4eba\u5b57\u62d6'}, {u'\u978b\u5e95\u6750\u8d28': u'\u6a61\u80f6'}, {u'\u98ce\u683c': u'\u9752\u6625\u6f6e\u6d41'}, {u'\u978b\u9762\u6750\u8d28': u'\u5934\u5c42\u725b\u76ae\uff08\u9664\u725b\u53cd\u7ed2\uff09'}, {u'\u9002\u7528\u5b63\u8282': u'\u590f\u5b63'}, {u'\u5236\u4f5c\u5de5\u827a': u'\u80f6\u7c98\u978b'}, {u'\u56fe\u6848': u'\u7eaf\u8272'}, {u'\u6d41\u884c\u5143\u7d20': u'\u7d20\u9762'}, {u'\u978b\u8ddf': u'\u5e73\u8ddf'}, {u'\u573a\u5408': u'\u65e5\u5e38'}, {u'\u529f\u80fd': u'\u8f7b\u8d28'}, {u'\u9002\u7528\u5bf9\u8c61': u'\u9752\u5e74'}]",幸福街市场
"39,40,41,42,43,44",https://91xf.sooxie.com/154821.aspx,38,175,今日新款，放心上传,"白,黑","http://data.xiedu.biz/index/big/131367425299375000386770.jpg,https://images.xiedu.biz/upload/201704152318001250651745.jpg!bac,https://images.xiedu.biz/upload/201704152318029375475833.jpg!bac,https://images.xiedu.biz/upload/201704152317240000506994.jpg!bac,https://images.xiedu.biz/upload/201704152317257187998145.jpg!bac,https://images.xiedu.biz/upload/201704152317226718698822.jpg!bac",950,"https://images.xiedu.biz/upload/201704181451453125561251.jpg!bac,https://images.xiedu.biz/upload/201704181451531406014846.jpg!bac,https://images.xiedu.biz/upload/201704181451593125105237.jpg!bac,https://images.xiedu.biz/upload/201704181452046875465875.jpg!bac,https://images.xiedu.biz/upload/201704181452132031981378.jpg!bac,https://images.xiedu.biz/upload/201704181452158593597723.jpg!bac,https://images.xiedu.biz/upload/201704181452192031500230.jpg!bac,https://images.xiedu.biz/upload/201704181452213593990003.jpg!bac,https://images.xiedu.biz/upload/201704181452238593622858.jpg!bac,https://images.xiedu.biz/upload/201704181453296875982936.jpg!bac,https://images.xiedu.biz/upload/201704181453327343058006.jpg!bac","
                                        【91鞋业】半拖潮鞋，夏款冲量38元！","[{u'\u978b\u5934\u6b3e\u5f0f': u'\u5706\u5934'}, {u'\u95ed\u5408\u65b9\u5f0f': u'\u7cfb\u5e26'}, {u'\u978b\u5e95\u6750\u8d28': u'\u6a61\u80f6'}, {u'\u978b\u9762\u6750\u8d28': u'PU'}, {u'\u978b\u9762\u5185\u91cc\u6750\u8d28': u'\u5e03'}, {u'\u5236\u4f5c\u5de5\u827a': u'\u80f6\u7c98\u978b'}, {u'\u978b\u8ddf': u'\u5e73\u8ddf'}, {u'\u56fe\u6848': u'\u7eaf\u8272'}, {u'\u6d41\u884c\u5143\u7d20': u'\u8f66\u7f1d\u7ebf'}, {u'\u98ce\u683c': u'\u9752\u6625\u6f6e\u6d41'}, {u'\u573a\u5408': u'\u65e5\u5e38'}, {u'\u5b63\u8282': u'\u6625\u79cb'}, {u'\u6b3e\u5f0f': u'\u6237\u5916\u4f11\u95f2\u978b'}, {u'\u9002\u7528\u5bf9\u8c61': u'\u9752\u5e74'}]",幸福街市场
"39,40,41,42,43,44",https://91xf.sooxie.com/154821.aspx,38,175,今日新款，放心上传,"白,黑","http://data.xiedu.biz/index/big/131367088401865234303266.jpg,https://images.xiedu.biz/upload/201704151404394990818942.jpg!bac,https://images.xiedu.biz/upload/201704151405022021038023.jpg!bac,https://images.xiedu.biz/upload/201704151405267021239999.jpg!bac,https://images.xiedu.biz/upload/201704151405280615408762.jpg!bac,https://images.xiedu.biz/upload/201704151404394990818942.jpg!bac,https://images.xiedu.biz/upload/201704151405022021038023.jpg!bac,https://images.xiedu.biz/upload/201704151405267021239999.jpg!bac,https://images.xiedu.biz/upload/201704151405280615408762.jpg!bac",950,"https://images.xiedu.biz/upload/201704181451453125561251.jpg!bac,https://images.xiedu.biz/upload/201704181451531406014846.jpg!bac,https://images.xiedu.biz/upload/201704181451593125105237.jpg!bac,https://images.xiedu.biz/upload/201704181452046875465875.jpg!bac,https://images.xiedu.biz/upload/201704181452132031981378.jpg!bac,https://images.xiedu.biz/upload/201704181452158593597723.jpg!bac,https://images.xiedu.biz/upload/201704181452192031500230.jpg!bac,https://images.xiedu.biz/upload/201704181452213593990003.jpg!bac,https://images.xiedu.biz/upload/201704181452238593622858.jpg!bac,https://images.xiedu.biz/upload/201704181453296875982936.jpg!bac,https://images.xiedu.biz/upload/201704181453327343058006.jpg!bac","
                                        【91鞋业】半拖潮鞋，夏款冲量38元！","[{u'\u98ce\u683c': u'\u9752\u6625\u6f6e\u6d41'}, {u'\u978b\u5934\u6b3e\u5f0f': u'\u9732\u8dbe'}, {u'\u95ed\u5408\u65b9\u5f0f': u'\u9b54\u672f\u8d34'}, {u'\u978b\u9762\u6750\u8d28': u'PU'}, {u'\u5236\u4f5c\u5de5\u827a': u'\u80f6\u7c98\u978b'}, {u'\u978b\u8ddf': u'\u5e73\u8ddf'}, {u'\u6d41\u884c\u5143\u7d20': u'\u8f66\u7f1d\u7ebf'}, {u'\u56fe\u6848': u'\u7eaf\u8272'}, {u'\u5b63\u8282': u'\u590f\u5b63'}, {u'\u573a\u5408': u'\u65e5\u5e38'}, {u'\u9002\u7528\u5bf9\u8c61': u'\u9752\u5e74'}]",幸福街市场
"39,40,41,42,43,44",https://91xf.sooxie.com/154821.aspx,38,175,今日新款，放心上传,"白,黑","http://data.xiedu.biz/index/big/131368179738437500438197.jpg,https://images.xiedu.biz/upload/201704162012248125301035.jpg!bac,https://images.xiedu.biz/upload/201704162012260468253665.jpg!bac,https://images.xiedu.biz/upload/201704162012276562076970.jpg!bac,https://images.xiedu.biz/upload/201704162012342656165985.jpg!bac,https://images.xiedu.biz/upload/201704162013454375710600.jpg!bac",950,"https://images.xiedu.biz/upload/201704181451453125561251.jpg!bac,https://images.xiedu.biz/upload/201704181451531406014846.jpg!bac,https://images.xiedu.biz/upload/201704181451593125105237.jpg!bac,https://images.xiedu.biz/upload/201704181452046875465875.jpg!bac,https://images.xiedu.biz/upload/201704181452132031981378.jpg!bac,https://images.xiedu.biz/upload/201704181452158593597723.jpg!bac,https://images.xiedu.biz/upload/201704181452192031500230.jpg!bac,https://images.xiedu.biz/upload/201704181452213593990003.jpg!bac,https://images.xiedu.biz/upload/201704181452238593622858.jpg!bac,https://images.xiedu.biz/upload/201704181453296875982936.jpg!bac,https://images.xiedu.biz/upload/201704181453327343058006.jpg!bac","
                                        【91鞋业】半拖潮鞋，夏款冲量38元！",,幸福街市场
"39,40,41,42,43,44",https://91xf.sooxie.com/154821.aspx,38,175,今日新款，放心上传,"白,黑",http://data.xiedu.biz/index/big/131368794895156250129501.jpg,950,"https://images.xiedu.biz/upload/201704181451453125561251.jpg!bac,https://images.xiedu.biz/upload/201704181451531406014846.jpg!bac,https://images.xiedu.biz/upload/201704181451593125105237.jpg!bac,https://images.xiedu.biz/upload/201704181452046875465875.jpg!bac,https://images.xiedu.biz/upload/201704181452132031981378.jpg!bac,https://images.xiedu.biz/upload/201704181452158593597723.jpg!bac,https://images.xiedu.biz/upload/201704181452192031500230.jpg!bac,https://images.xiedu.biz/upload/201704181452213593990003.jpg!bac,https://images.xiedu.biz/upload/201704181452238593622858.jpg!bac,https://images.xiedu.biz/upload/201704181453296875982936.jpg!bac,https://images.xiedu.biz/upload/201704181453327343058006.jpg!bac","
                                        【91鞋业】半拖潮鞋，夏款冲量38元！",,幸福街市场
"39,40,41,42,43,44",https://gzxh.sooxie.com/154755.aspx,30,78,今日新款，放心上传,"黑色,白色","http://data.xiedu.biz/index/big/131369260585156250511852.jpg,https://images.xiedu.biz/upload/201704180204438906089140.jpg!bac",W56,"https://images.xiedu.biz/upload/201704181248561875127011.jpg!bac,https://images.xiedu.biz/upload/201704181248599218488243.jpg!bac,https://images.xiedu.biz/upload/201704181249012656884465.jpg!bac,https://images.xiedu.biz/upload/201704181249032187850852.jpg!bac,https://images.xiedu.biz/upload/201704181249053437388778.jpg!bac,https://images.xiedu.biz/upload/201704181249085312083541.jpg!bac,https://images.xiedu.biz/upload/201704181249095781876581.jpg!bac,https://images.xiedu.biz/upload/201704181249106406257671.jpg!bac,https://images.xiedu.biz/upload/201704181249120312969538.jpg!bac,https://images.xiedu.biz/upload/201704181249139531984077.jpg!bac,https://images.xiedu.biz/upload/201704181249150468317014.jpg!bac,https://images.xiedu.biz/upload/201704181249184531123215.jpg!bac,https://images.xiedu.biz/upload/201704181249214531882641.jpg!bac,https://images.xiedu.biz/upload/201704181249257031958494.jpg!bac,https://images.xiedu.biz/upload/201704181249284531654634.jpg!bac,https://images.xiedu.biz/upload/201704181249318125145191.jpg!bac,https://images.xiedu.biz/upload/201704181249354687014678.jpg!bac,https://images.xiedu.biz/upload/201704181249384687774103.jpg!bac,https://images.xiedu.biz/upload/201704181249417812500509.jpg!bac,https://images.xiedu.biz/upload/201704181249455000497944.jpg!bac,https://images.xiedu.biz/upload/201704181249484218765624.jpg!bac,https://images.xiedu.biz/upload/201704181249506562747143.jpg!bac,https://images.xiedu.biz/upload/201704181249525156857987.jpg!bac,https://images.xiedu.biz/upload/201704181249554375125668.jpg!bac,https://images.xiedu.biz/upload/201704181249586406408481.jpg!bac,https://images.xiedu.biz/upload/201704181249596718613471.jpg!bac","
                                        贵足新款星光帆布豆豆鞋W56 39-44 P30",,幸福街市场
"39,40,41,42,43,44",https://gzxh.sooxie.com/154755.aspx,30,78,今日新款，放心上传,"黑色,白色","http://data.xiedu.biz/index/big/131369715430156250351259.jpg,https://images.xiedu.biz/upload/201704181501559531499815.jpg!bac,https://images.xiedu.biz/upload/201704181501580312497844.jpg!bac,https://images.xiedu.biz/upload/201704181502003750147209.jpg!bac,https://images.xiedu.biz/upload/201704181502021250590207.jpg!bac,https://images.xiedu.biz/upload/201704181502047500254705.jpg!bac",W56,"https://images.xiedu.biz/upload/201704181248561875127011.jpg!bac,https://images.xiedu.biz/upload/201704181248599218488243.jpg!bac,https://images.xiedu.biz/upload/201704181249012656884465.jpg!bac,https://images.xiedu.biz/upload/201704181249032187850852.jpg!bac,https://images.xiedu.biz/upload/201704181249053437388778.jpg!bac,https://images.xiedu.biz/upload/201704181249085312083541.jpg!bac,https://images.xiedu.biz/upload/201704181249095781876581.jpg!bac,https://images.xiedu.biz/upload/201704181249106406257671.jpg!bac,https://images.xiedu.biz/upload/201704181249120312969538.jpg!bac,https://images.xiedu.biz/upload/201704181249139531984077.jpg!bac,https://images.xiedu.biz/upload/201704181249150468317014.jpg!bac,https://images.xiedu.biz/upload/201704181249184531123215.jpg!bac,https://images.xiedu.biz/upload/201704181249214531882641.jpg!bac,https://images.xiedu.biz/upload/201704181249257031958494.jpg!bac,https://images.xiedu.biz/upload/201704181249284531654634.jpg!bac,https://images.xiedu.biz/upload/201704181249318125145191.jpg!bac,https://images.xiedu.biz/upload/201704181249354687014678.jpg!bac,https://images.xiedu.biz/upload/201704181249384687774103.jpg!bac,https://images.xiedu.biz/upload/201704181249417812500509.jpg!bac,https://images.xiedu.biz/upload/201704181249455000497944.jpg!bac,https://images.xiedu.biz/upload/201704181249484218765624.jpg!bac,https://images.xiedu.biz/upload/201704181249506562747143.jpg!bac,https://images.xiedu.biz/upload/201704181249525156857987.jpg!bac,https://images.xiedu.biz/upload/201704181249554375125668.jpg!bac,https://images.xiedu.biz/upload/201704181249586406408481.jpg!bac,https://images.xiedu.biz/upload/201704181249596718613471.jpg!bac","
                                        贵足新款星光帆布豆豆鞋W56 39-44 P30",,幸福街市场
"39,40,41,42,43,44",https://gzxh.sooxie.com/154755.aspx,30,78,今日新款，放心上传,"黑色,白色","http://data.xiedu.biz/index/big/131369715430156250351259.jpg,https://images.xiedu.biz/upload/201704181501559531499815.jpg!bac,https://images.xiedu.biz/upload/201704181501580312497844.jpg!bac,https://images.xiedu.biz/upload/201704181502003750147209.jpg!bac,https://images.xiedu.biz/upload/201704181502021250590207.jpg!bac,https://images.xiedu.biz/upload/201704181502047500254705.jpg!bac",W56,"https://images.xiedu.biz/upload/201704181248561875127011.jpg!bac,https://images.xiedu.biz/upload/201704181248599218488243.jpg!bac,https://images.xiedu.biz/upload/201704181249012656884465.jpg!bac,https://images.xiedu.biz/upload/201704181249032187850852.jpg!bac,https://images.xiedu.biz/upload/201704181249053437388778.jpg!bac,https://images.xiedu.biz/upload/201704181249085312083541.jpg!bac,https://images.xiedu.biz/upload/201704181249095781876581.jpg!bac,https://images.xiedu.biz/upload/201704181249106406257671.jpg!bac,https://images.xiedu.biz/upload/201704181249120312969538.jpg!bac,https://images.xiedu.biz/upload/201704181249139531984077.jpg!bac,https://images.xiedu.biz/upload/201704181249150468317014.jpg!bac,https://images.xiedu.biz/upload/201704181249184531123215.jpg!bac,https://images.xiedu.biz/upload/201704181249214531882641.jpg!bac,https://images.xiedu.biz/upload/201704181249257031958494.jpg!bac,https://images.xiedu.biz/upload/201704181249284531654634.jpg!bac,https://images.xiedu.biz/upload/201704181249318125145191.jpg!bac,https://images.xiedu.biz/upload/201704181249354687014678.jpg!bac,https://images.xiedu.biz/upload/201704181249384687774103.jpg!bac,https://images.xiedu.biz/upload/201704181249417812500509.jpg!bac,https://images.xiedu.biz/upload/201704181249455000497944.jpg!bac,https://images.xiedu.biz/upload/201704181249484218765624.jpg!bac,https://images.xiedu.biz/upload/201704181249506562747143.jpg!bac,https://images.xiedu.biz/upload/201704181249525156857987.jpg!bac,https://images.xiedu.biz/upload/201704181249554375125668.jpg!bac,https://images.xiedu.biz/upload/201704181249586406408481.jpg!bac,https://images.xiedu.biz/upload/201704181249596718613471.jpg!bac","
                                        贵足新款星光帆布豆豆鞋W56 39-44 P30",,幸福街市场
"39,40,41,42,43,44",https://gzxh.sooxie.com/154755.aspx,30,78,今日新款，放心上传,"黑色,白色","http://data.xiedu.biz/index/big/131369715430156250351259.jpg,https://images.xiedu.biz/upload/201704181501559531499815.jpg!bac,https://images.xiedu.biz/upload/201704181501580312497844.jpg!bac,https://images.xiedu.biz/upload/201704181502003750147209.jpg!bac,https://images.xiedu.biz/upload/201704181502021250590207.jpg!bac,https://images.xiedu.biz/upload/201704181502047500254705.jpg!bac",W56,"https://images.xiedu.biz/upload/201704181248561875127011.jpg!bac,https://images.xiedu.biz/upload/201704181248599218488243.jpg!bac,https://images.xiedu.biz/upload/201704181249012656884465.jpg!bac,https://images.xiedu.biz/upload/201704181249032187850852.jpg!bac,https://images.xiedu.biz/upload/201704181249053437388778.jpg!bac,https://images.xiedu.biz/upload/201704181249085312083541.jpg!bac,https://images.xiedu.biz/upload/201704181249095781876581.jpg!bac,https://images.xiedu.biz/upload/201704181249106406257671.jpg!bac,https://images.xiedu.biz/upload/201704181249120312969538.jpg!bac,https://images.xiedu.biz/upload/201704181249139531984077.jpg!bac,https://images.xiedu.biz/upload/201704181249150468317014.jpg!bac,https://images.xiedu.biz/upload/201704181249184531123215.jpg!bac,https://images.xiedu.biz/upload/201704181249214531882641.jpg!bac,https://images.xiedu.biz/upload/201704181249257031958494.jpg!bac,https://images.xiedu.biz/upload/201704181249284531654634.jpg!bac,https://images.xiedu.biz/upload/201704181249318125145191.jpg!bac,https://images.xiedu.biz/upload/201704181249354687014678.jpg!bac,https://images.xiedu.biz/upload/201704181249384687774103.jpg!bac,https://images.xiedu.biz/upload/201704181249417812500509.jpg!bac,https://images.xiedu.biz/upload/201704181249455000497944.jpg!bac,https://images.xiedu.biz/upload/201704181249484218765624.jpg!bac,https://images.xiedu.biz/upload/201704181249506562747143.jpg!bac,https://images.xiedu.biz/upload/201704181249525156857987.jpg!bac,https://images.xiedu.biz/upload/201704181249554375125668.jpg!bac,https://images.xiedu.biz/upload/201704181249586406408481.jpg!bac,https://images.xiedu.biz/upload/201704181249596718613471.jpg!bac","
                                        贵足新款星光帆布豆豆鞋W56 39-44 P30",,幸福街市场
"39,40,41,42,43,44",https://nfxy.sooxie.com/154583.aspx,28,62,今日新款，放心上传,"黑红,黑灰,白宝蓝",http://data.xiedu.biz/index/big/131369694397968750222002.jpg,1638,"https://images.xiedu.biz/upload/201704180054310312997791.jpg!bac,https://images.xiedu.biz/upload/201704180054364062358429.jpg!bac,https://images.xiedu.biz/upload/201704180054477656874121.jpg!bac,https://images.xiedu.biz/upload/201704180054496093396915.jpg!bac,https://images.xiedu.biz/upload/201704180054508593713342.jpg!bac,https://images.xiedu.biz/upload/201704180054533437758146.jpg!bac,https://images.xiedu.biz/upload/201704180054551718692890.jpg!bac,https://images.xiedu.biz/upload/201704180054565000501062.jpg!bac,https://images.xiedu.biz/upload/201704180112145000262345.jpg!bac,https://images.xiedu.biz/upload/201704180112163281197089.jpg!bac,https://images.xiedu.biz/upload/201704180112175781513516.jpg!bac","
                                        三色精工版 夏季 潮流男拖鞋 质量版 人字拖","[{u'\u978b\u5934\u6b3e\u5f0f': u'\u5706\u5934'}, {u'\u95ed\u5408\u65b9\u5f0f': u'\u7cfb\u5e26'}, {u'\u978b\u5e95\u6750\u8d28': u'\u6a61\u80f6'}, {u'\u978b\u9762\u6750\u8d28': u'PU'}, {u'\u5e2e\u9762\u6750\u8d28': u'PU'}, {u'\u978b\u9762\u5185\u91cc\u6750\u8d28': u'\u5e03'}, {u'\u5236\u4f5c\u5de5\u827a': u'\u80f6\u7c98\u978b'}, {u'\u978b\u8ddf': u'\u539a\u5e95'}, {u'\u56fe\u6848': u'\u7eaf\u8272'}, {u'\u6d41\u884c\u5143\u7d20': u'\u8f66\u7f1d\u7ebf'}, {u'\u98ce\u683c': u'\u9752\u6625\u6f6e\u6d41'}, {u'\u573a\u5408': u'\u8fd0\u52a8\u4f11\u95f2'}, {u'\u5b63\u8282': u'\u6625\u79cb'}, {u'\u4ef7\u683c\u533a\u95f4': u'121-200\u5143'}, {u'\u6b3e\u5f0f': u'\u677f\u978b'}, {u'\u529f\u80fd': u'\u900f\u6c14'}, {u'\u9002\u7528\u5bf9\u8c61': u'\u9752\u5e74'}]",泉州市场
